model_in_file,avg_score
LLaMA3.2-1B_Baseline,0.02857142857142857
LLaMA3.2-1B_Prune-0th-Layer,-0.12916666666666668
LLaMA3.2-1B_Prune-10th-Layer,0.05510204081632653
LLaMA3.2-1B_Prune-11th-Layer,0.31020408163265306
LLaMA3.2-1B_Prune-12th-Layer,0.12
LLaMA3.2-1B_Prune-13th-Layer,0.09183673469387756
LLaMA3.2-1B_Prune-14th-Layer,0.05306122448979592
LLaMA3.2-1B_Prune-15th-Layer,0.35714285714285715
LLaMA3.2-1B_Prune-1th-Layer,0.35
LLaMA3.2-1B_Prune-2th-Layer,-0.01
LLaMA3.2-1B_Prune-3th-Layer,0.0
LLaMA3.2-1B_Prune-4th-Layer,0.05918367346938775
LLaMA3.2-1B_Prune-5th-Layer,-0.01020408163265306
LLaMA3.2-1B_Prune-6th-Layer,0.02040816326530612
LLaMA3.2-1B_Prune-7th-Layer,0.04081632653061224
LLaMA3.2-1B_Prune-8th-Layer,0.01020408163265306
LLaMA3.2-1B_Prune-9th-Layer,-0.002040816326530614
