model_in_file,avg_score
LLaMA3.2-1B_Baseline,0.013465971946716306
LLaMA3.2-1B_Prune-0th-Layer,-0.17968379259109496
LLaMA3.2-1B_Prune-10th-Layer,0.06865578174591067
LLaMA3.2-1B_Prune-11th-Layer,0.09586941480636599
LLaMA3.2-1B_Prune-12th-Layer,0.01727437138557434
LLaMA3.2-1B_Prune-13th-Layer,0.0685842227935791
LLaMA3.2-1B_Prune-14th-Layer,0.15544763684272767
LLaMA3.2-1B_Prune-15th-Layer,-0.009586418867111203
LLaMA3.2-1B_Prune-1th-Layer,-0.27829611897468565
LLaMA3.2-1B_Prune-2th-Layer,-0.07909386992454528
LLaMA3.2-1B_Prune-3th-Layer,-0.1431331992149353
LLaMA3.2-1B_Prune-4th-Layer,-0.22442360281944274
LLaMA3.2-1B_Prune-5th-Layer,-0.2999138045310974
LLaMA3.2-1B_Prune-6th-Layer,-0.12414638757705687
LLaMA3.2-1B_Prune-7th-Layer,-0.18238901615142822
LLaMA3.2-1B_Prune-8th-Layer,-0.09141834020614624
LLaMA3.2-1B_Prune-9th-Layer,-0.0809878158569336
