model_in_file,avg_score
LLaMA3.1-8B_Baseline,0.04
LLaMA3.1-8B_Prune-0th-Layer,0
LLaMA3.1-8B_Prune-10th-Layer,0.06
LLaMA3.1-8B_Prune-11th-Layer,0
LLaMA3.1-8B_Prune-12th-Layer,0.04
LLaMA3.1-8B_Prune-13th-Layer,0
LLaMA3.1-8B_Prune-14th-Layer,0.04
LLaMA3.1-8B_Prune-15th-Layer,0
LLaMA3.1-8B_Prune-16th-Layer,0.04
LLaMA3.1-8B_Prune-17th-Layer,0
LLaMA3.1-8B_Prune-18th-Layer,0.04
LLaMA3.1-8B_Prune-19th-Layer,0
LLaMA3.1-8B_Prune-1th-Layer,0.08
LLaMA3.1-8B_Prune-20th-Layer,0
LLaMA3.1-8B_Prune-21th-Layer,0.04
LLaMA3.1-8B_Prune-22th-Layer,0
LLaMA3.1-8B_Prune-23th-Layer,0.05
LLaMA3.1-8B_Prune-24th-Layer,0
LLaMA3.1-8B_Prune-25th-Layer,0.1
LLaMA3.1-8B_Prune-26th-Layer,0
LLaMA3.1-8B_Prune-27th-Layer,0.06
LLaMA3.1-8B_Prune-28th-Layer,0
LLaMA3.1-8B_Prune-29th-Layer,0.06
LLaMA3.1-8B_Prune-2th-Layer,0
LLaMA3.1-8B_Prune-30th-Layer,0.02
LLaMA3.1-8B_Prune-3th-Layer,0
LLaMA3.1-8B_Prune-4th-Layer,0.04
LLaMA3.1-8B_Prune-5th-Layer,0
LLaMA3.1-8B_Prune-6th-Layer,0.1
LLaMA3.1-8B_Prune-7th-Layer,0
LLaMA3.1-8B_Prune-8th-Layer,0.04
LLaMA3.1-8B_Prune-9th-Layer,0
